zona,bairro,categoria_risco,ocupacao,área mínima do lote,testada mínima do lote,módulo de fracionamento,face máxima do quarteirão,área máxima do quarteirão,área mínima do quarteirão,enquadramento fracionamento,área de destinação pública – malha viária fracionamento,área de destinação pública – equipamentos fracionamento,enquadramento desmembramento tipo 1,área pública – malha viária desmembramento tipo 1,área pública – equipamentos desmembramento tipo 1,enquadramento desmembramento tipo 2,área pública – malha viária desmembramento tipo 2,área pública – equipamentos desmembramento tipo 2,enquadramento desmembramento tipo 3,área pública – malha viária desmembramento tipo 3,área pública – equipamentos desmembramento tipo 3,enquadramento loteamento,área pública – malha viária loteamento,área pública – equipamentos loteamento,coeficiente de aproveitamento básico,coeficiente de aproveitamento máximo,coeficiente de aproveitamento básico 4d,coeficiente de aproveitamento máximo 4d,altura máxima para edificação isolada,afastamentos - frente,afastamentos - laterais,afastamentos - fundos,taxa de permeabilidade acima de 1500 m2,taxa de permeabilidade até 1500 m2,fator de conversão da taxa de permeabilidade,recuo de jardim,comércio varejista inócuo – restrição porte,comércio varejista ia1 – restrição porte,comércio varejista ia2 – restrição porte,comércio atacadista ia1 – restrição porte,comércio atacadista ia2 – restrição porte,comércio atacadista ia3 – restrição porte,serviço inócuo – restrição porte,serviço ia1 – restrição porte,serviço ia2 – restrição porte,serviço ia3 – restrição porte,indústria inócua – restrição porte,indústria com interferência ambiental – restrição porte,nível de controle de polarização de entretenimento noturno,cod,parcelamento do solo,edificações,atividades,comparativo entre planos,caracteristicas,final
ESPECIAL,JARDIM EUROPA,Ocupação Acima da Cota de Inundação,Intensiva,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,E,CONFORME PROJETO,CONFORME PROJETO,CONFORME PROJETO,CONFORME PROJETO,CONFORME PROJETO,CONFORME PROJETO
ESPECIAL,PRAIA DE BELAS,Ocupação Acima da Cota de Inundação,Intensiva,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,E,CONFORME PROJETO,CONFORME PROJETO,CONFORME PROJETO,CONFORME PROJETO,CONFORME PROJETO,CONFORME PROJETO
ESPECIAL,CENTRO HISTÓRICO,Ocupação Acima da Cota de Inundação,Intensiva,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,E,CONFORME PROJETO,CONFORME PROJETO,CONFORME PROJETO,CONFORME PROJETO,CONFORME PROJETO,CONFORME PROJETO
ESPECIAL,LOMBA DO PINHEIRO,Ocupação Acima da Cota de Inundação,Intensiva,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,E,CONFORME PROJETO,CONFORME PROJETO,CONFORME PROJETO,CONFORME PROJETO,CONFORME PROJETO,CONFORME PROJETO
ESPECIAL,TRISTEZA,Ocupação Acima da Cota de Inundação,Intensiva,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,E,CONFORME PROJETO,CONFORME PROJETO,CONFORME PROJETO,CONFORME PROJETO,CONFORME PROJETO,CONFORME PROJETO
ESPECIAL,SÉTIMO CÉU,Ocupação Acima da Cota de Inundação,Intensiva,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,E,CONFORME PROJETO,CONFORME PROJETO,CONFORME PROJETO,CONFORME PROJETO,CONFORME PROJETO,CONFORME PROJETO
ESPECIAL,BOA VISTA,Ocupação Acima da Cota de Inundação,Intensiva,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,E,CONFORME PROJETO,CONFORME PROJETO,CONFORME PROJETO,CONFORME PROJETO,CONFORME PROJETO,CONFORME PROJETO
ESPECIAL,MOINHOS DE VENTO,Ocupação Acima da Cota de Inundação,Intensiva,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,E,CONFORME PROJETO,CONFORME PROJETO,CONFORME PROJETO,CONFORME PROJETO,CONFORME PROJETO,CONFORME PROJETO
ESPECIAL,FARROUPILHA,Ocupação Acima da Cota de Inundação,Intensiva,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,E,CONFORME PROJETO,CONFORME PROJETO,CONFORME PROJETO,CONFORME PROJETO,CONFORME PROJETO,CONFORME PROJETO
ESPECIAL,CAVALHADA,Ocupação Acima da Cota de Inundação,Intensiva,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,E,CONFORME PROJETO,CONFORME PROJETO,CONFORME PROJETO,CONFORME PROJETO,CONFORME PROJETO,CONFORME PROJETO
